#TYPE Microsoft.IIs.PowerShell.Framework.ConfigurationElement#system.applicationHost/applicationPools#add
"name","queueLength","autoStart","enable32BitAppOnWin64","managedRuntimeVersion","managedRuntimeLoader","enableConfigurationOverride","managedPipelineMode","CLRConfigFile","passAnonymousToken","startMode","state","applicationPoolSid","processModel","recycling","failure","cpu","workerProcesses","ItemXPath","PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Attributes","ChildElements","ElementTagName","Methods","Schema"
"ASP.NET 1.1","1000","True","True","v1.1","webengine4.dll","True","Classic","","True","AlwaysRunning","Started","S-1-5-82-2262271052-2148063755-2833506681-1768398819-1209019456","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","/system.applicationHost/applicationPools/add[@name='ASP.NET 1.1']","WebAdministration::\\IBA-BL\AppPools\ASP.NET 1.1","WebAdministration::\\IBA-BL\AppPools","ASP.NET 1.1","IIS","WebAdministration","True","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","add","Microsoft.IIs.PowerShell.Framework.ConfigurationMethodCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"ASP.NET 4.0 32 BIT Integrated","1000","True","True","v4.0","webengine4.dll","True","Integrated","","True","OnDemand","Started","S-1-5-82-883216586-2780305407-3812656737-928571780-2032821042","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","/system.applicationHost/applicationPools/add[@name='ASP.NET 4.0 32 BIT Integrated']","WebAdministration::\\IBA-BL\AppPools\ASP.NET 4.0 32 BIT Integrated","WebAdministration::\\IBA-BL\AppPools","ASP.NET 4.0 32 BIT Integrated","IIS","WebAdministration","True","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","add","Microsoft.IIs.PowerShell.Framework.ConfigurationMethodCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"ASP.NET 4.0 64 BIT Classic","1000","True","False","v4.0","webengine4.dll","True","Classic","","True","AlwaysRunning","Started","S-1-5-82-1269393030-695268733-1793946372-3905504253-811838800","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","/system.applicationHost/applicationPools/add[@name='ASP.NET 4.0 64 BIT Classic']","WebAdministration::\\IBA-BL\AppPools\ASP.NET 4.0 64 BIT Classic","WebAdministration::\\IBA-BL\AppPools","ASP.NET 4.0 64 BIT Classic","IIS","WebAdministration","True","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","add","Microsoft.IIs.PowerShell.Framework.ConfigurationMethodCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"ASP.NET 4.0 64 BIT Integrated","1000","True","False","v4.0","webengine4.dll","True","Integrated","","True","AlwaysRunning","Started","S-1-5-82-4222971117-2090279799-879206490-778447105-2542950578","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","/system.applicationHost/applicationPools/add[@name='ASP.NET 4.0 64 BIT Integrated']","WebAdministration::\\IBA-BL\AppPools\ASP.NET 4.0 64 BIT Integrated","WebAdministration::\\IBA-BL\AppPools","ASP.NET 4.0 64 BIT Integrated","IIS","WebAdministration","True","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","add","Microsoft.IIs.PowerShell.Framework.ConfigurationMethodCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"ASP.NET v4.0","1000","True","True","v4.0","webengine4.dll","True","Integrated","","True","AlwaysRunning","Started","S-1-5-82-794271414-2547205055-1060673776-2579641347-304524694","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","/system.applicationHost/applicationPools/add[@name='ASP.NET v4.0']","WebAdministration::\\IBA-BL\AppPools\ASP.NET v4.0","WebAdministration::\\IBA-BL\AppPools","ASP.NET v4.0","IIS","WebAdministration","True","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","add","Microsoft.IIs.PowerShell.Framework.ConfigurationMethodCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"ASP.NET v4.0 Classic","1000","True","True","v4.0","webengine4.dll","True","Classic","","True","AlwaysRunning","Started","S-1-5-82-4262073687-1568154547-975915772-2690506367-2932158732","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","/system.applicationHost/applicationPools/add[@name='ASP.NET v4.0 Classic']","WebAdministration::\\IBA-BL\AppPools\ASP.NET v4.0 Classic","WebAdministration::\\IBA-BL\AppPools","ASP.NET v4.0 Classic","IIS","WebAdministration","True","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","add","Microsoft.IIs.PowerShell.Framework.ConfigurationMethodCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"Classic .NET AppPool","1000","True","True","v4.0","webengine4.dll","True","Classic","","True","AlwaysRunning","Started","S-1-5-82-1036420768-1044797643-1061213386-2937092688-4282445334","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","/system.applicationHost/applicationPools/add[@name='Classic .NET AppPool']","WebAdministration::\\IBA-BL\AppPools\Classic .NET AppPool","WebAdministration::\\IBA-BL\AppPools","Classic .NET AppPool","IIS","WebAdministration","True","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","add","Microsoft.IIs.PowerShell.Framework.ConfigurationMethodCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"DefaultAppPool","1000","True","True","v4.0","webengine4.dll","True","Integrated","","True","AlwaysRunning","Started","S-1-5-82-3006700770-424185619-1745488364-794895919-4004696415","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","/system.applicationHost/applicationPools/add[@name='DefaultAppPool']","WebAdministration::\\IBA-BL\AppPools\DefaultAppPool","WebAdministration::\\IBA-BL\AppPools","DefaultAppPool","IIS","WebAdministration","True","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","add","Microsoft.IIs.PowerShell.Framework.ConfigurationMethodCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"UKApps","1000","True","True","v4.0","webengine4.dll","True","Classic","","True","AlwaysRunning","Started","S-1-5-82-3649558067-1996137420-406632145-2941142438-351041474","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","/system.applicationHost/applicationPools/add[@name='UKApps']","WebAdministration::\\IBA-BL\AppPools\UKApps","WebAdministration::\\IBA-BL\AppPools","UKApps","IIS","WebAdministration","True","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","add","Microsoft.IIs.PowerShell.Framework.ConfigurationMethodCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"UKPRSApps","1000","True","False","v4.0","webengine4.dll","True","Classic","","True","AlwaysRunning","Started","S-1-5-82-3592003727-378061983-542684497-1121028413-2268639815","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","/system.applicationHost/applicationPools/add[@name='UKPRSApps']","WebAdministration::\\IBA-BL\AppPools\UKPRSApps","WebAdministration::\\IBA-BL\AppPools","UKPRSApps","IIS","WebAdministration","True","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","add","Microsoft.IIs.PowerShell.Framework.ConfigurationMethodCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
