#TYPE Microsoft.IIs.PowerShell.Framework.ConfigurationElement#site#application
"path","applicationPool","enabledProtocols","serviceAutoStartEnabled","serviceAutoStartProvider","preloadEnabled","virtualDirectoryDefaults","Collection","PSPath","Location","ConfigurationPathType","ItemXPath","PhysicalPath","Attributes","ChildElements","ElementTagName","Methods","Schema"
"/MSMQ","DefaultAppPool","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/MSMQ']","C:\inetpub\wwwroot\msmq","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/iPortalBLLoginWeb","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/iPortalBLLoginWeb']","D:\bin_IBAMaster_UK2-S\BL\IBA\Authentication\iPortalBLLoginWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/IbaRefAppBusinessLayerRem","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/IbaRefAppBusinessLayerRem']","D:\bin_IBAMaster_UK2-S\BL\Applications\IbaRefApp\IbaRefAppBusinessLayerRem","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/DISBL","UKApps","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/DISBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\DIS\DISBL","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/RelayServiceBL","ASP.NET 4.0 64 BIT Classic","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/RelayServiceBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\RelayService\RelayServiceBL","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/CMSBL","UKApps","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/CMSBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\CMS\CMSBL","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/SXIViewerBL","UKApps","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/SXIViewerBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\SXIViewer\SXIViewerBL","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/RTMSBL","UKApps","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/RTMSBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\RTMS\RTMSBL","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/CarFinderBL","ASP.NET 4.0 64 BIT Integrated","http,net.tcp","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/CarFinderBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\CarFinderService\CarFinderServiceBLWeb","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
"/SessionMgmtBL","ASP.NET 4.0 64 BIT Integrated","http","False","","True","Microsoft.IIs.PowerShell.Framework.ConfigurationElement","System.Management.Automation.PSObject[]","MACHINE/WEBROOT/APPHOST","","Location","/system.applicationHost/sites/site[@name='Default Web Site' and @id='1']/application[@path='/SessionMgmtBL']","D:\bin_IBAMaster_UK2-S\BL\Applications\SessionManagement\SessionMgmtBL","Microsoft.IIs.PowerShell.Framework.ConfigurationAttributeCollection","Microsoft.IIs.PowerShell.Framework.ConfigurationChildElementCollection","application",,"Microsoft.IIs.PowerShell.Framework.ConfigurationElementSchema"
